Species,GarciaPenaMLog,GarciaPenaFLog,GarciaPenaAveLog,IwaniukArnoldLog,IwaniukNelsonLog,IwaniukDeanNelsonLog,SayolLog,CorfieldLog
Ara_macao,NA,NA,NA,NA,2.886475288,2.886475288,NA,NA
Ara_militaris,NA,NA,NA,NA,2.935451343,2.935451343,NA,NA
Ara_severa,NA,NA,NA,NA,NA,2.307572635,NA,NA
Arachnothera_longirostra,NA,NA,NA,NA,-0.653926467,NA,-0.66,NA
Aramides_cajanea,NA,NA,NA,NA,1.383791231,NA,1.384,NA
Aramides_ypecaha,NA,NA,NA,NA,1.589235205,NA,1.589,NA
Aramus_guarauna,NA,NA,NA,NA,1.89009537,NA,1.946,NA
Aratinga_acuticaudata,NA,NA,NA,NA,NA,1.658228077,NA,NA
Aratinga_aurea,NA,NA,NA,NA,1.172482137,1.172482137,NA,NA
Aratinga_canicularis,NA,NA,NA,NA,1.181727195,1.181727195,NA,NA
Aratinga_finschi,NA,NA,NA,NA,1.663926098,1.663926098,1.675,NA
Aratinga_holochlora,NA,NA,NA,NA,1.654411278,1.654411278,NA,NA
Aratinga_jandaya,NA,NA,NA,NA,NA,1.335001067,NA,NA
Aratinga_leucopthalmus,NA,NA,NA,NA,1.719188776,1.719188776,NA,NA
Aratinga_nana,NA,NA,NA,NA,1.388791241,1.388791241,NA,NA
Aratinga_pertinax,NA,NA,NA,NA,1.249901736,1.249901736,NA,NA
Aratinga_solstitialis,NA,NA,NA,NA,NA,1.515127233,1.504,NA
Aratinga_weddellii,NA,NA,NA,NA,1.388791241,1.388791241,NA,NA
Ardea_herodias,NA,NA,NA,NA,2.183801557,NA,2.193,NA
Ardea_pacifica,NA,NA,NA,NA,NA,NA,1.642,NA
Ardeotis_australis,NA,NA,NA,NA,2.45530618,NA,2.466,NA
Arenaria_interpres,0.3074847,0.285178942,0.296331821,NA,0.292669614,NA,0.275,NA
Arenaria_melanocephala,0.39877612,0.444685821,0.421730971,NA,NA,NA,0.435,NA
Arremon_aurantiirostris,NA,NA,NA,NA,0.076961041,NA,0.166,NA
Arremon_brunneinucha,NA,NA,NA,NA,NA,NA,0.438,NA
Arremonops_conirostris,NA,NA,NA,NA,0.254642218,NA,0.243,NA
Arses_telescophthalmus,NA,NA,NA,NA,NA,NA,-0.478,NA
Artamus_cinereus,NA,NA,NA,-0.083381609,-0.083381609,NA,-0.07,NA
Artamus_cyanopterus,NA,NA,NA,NA,NA,NA,0.014,NA
Artamus_leucorynchus,NA,NA,NA,NA,NA,NA,0.072,NA
Artamus_maximus,NA,NA,NA,NA,NA,NA,0.501,NA
Artamus_minor,NA,NA,NA,NA,NA,NA,-0.664,NA
Artamus_personatus,NA,NA,NA,0.029558802,0.029558802,NA,0.046,NA
Artamus_superciliosus,NA,NA,NA,0.039220713,0.039220713,NA,-0.003,NA
Asio_flammeus,NA,NA,NA,NA,1.667706821,NA,1.641,NA
Asio_otus,NA,NA,NA,NA,1.669591835,NA,1.67,NA
Athene_cunicularia,NA,NA,NA,NA,1.32972401,NA,1.317,NA
Attila_spadiceus,NA,NA,NA,NA,0.165514438,NA,0.163,NA
Aulacorhynchus_sulcatus,NA,NA,NA,NA,1.00795792,NA,NA,1.00795792
Auriparus_flaviceps,NA,NA,NA,NA,-0.820980552,NA,-0.844,NA
Automolus_infuscatus,NA,NA,NA,NA,0.122217633,NA,0.11,NA
Automolus_ochrolaemus,NA,NA,NA,NA,0.131028262,NA,0.104,NA
Aviceda_subcristata,NA,NA,NA,NA,1.547562509,NA,1.545,NA
Aythya_affinis,NA,NA,NA,NA,1.430311247,NA,1.431,NA
Aythya_americana,NA,NA,NA,NA,1.69744879,NA,1.644,NA
Aythya_australis,NA,NA,NA,NA,1.587192303,NA,1.589,NA
Aythya_collaris,NA,NA,NA,NA,1.682688374,NA,1.504,NA
Aythya_valisineria,NA,NA,NA,NA,1.913977102,NA,1.91,NA
Baeolophus_bicolor,NA,NA,NA,NA,NA,NA,-0.073,NA
Baillonius_bailloni,NA,NA,NA,NA,1.078409581,NA,NA,1.078409581
Bambusicola_thoracicus,NA,NA,NA,NA,NA,NA,0.642,NA
Barnardius_barnardius,NA,NA,NA,NA,1.286474026,1.286474026,NA,NA
Barnardius_zonarius,NA,NA,NA,NA,1.363537374,1.363537374,1.315,NA
Bartramia_longicauda,0.292669614,0.231111721,0.261890668,NA,0.262364264,NA,0.263,NA
Baryphthengus_ruficapillus,NA,NA,NA,NA,0.97455964,NA,0.984,NA
Basileuterus_culicivorus,NA,NA,NA,NA,NA,NA,-0.558,NA
Batis_capensis,NA,NA,NA,-0.385662481,-0.385662481,NA,-0.371,NA
Biziura_lobata,NA,NA,NA,NA,2.165619238,NA,2.128,NA
Blythipicus_rubiginosus,NA,NA,NA,NA,NA,NA,NA,1.132691602
Bolbopsittacus_lunulatus,NA,NA,NA,NA,NA,0.97456,0.975,NA
Bolborhynchus_lineola,NA,NA,NA,NA,0.732367894,0.732367894,NA,NA
Bombycilla_cedrorum,NA,NA,NA,NA,NA,NA,-0.111,NA
Bombycilla_garrulus,NA,NA,NA,NA,0.148420005,NA,0.167,NA
Bonasa_umbellus,NA,NA,NA,NA,0.90016135,NA,0.9,NA
Botaurus_lentiginosus,NA,NA,NA,NA,1.508511994,NA,1.464,NA
Botaurus_poiciloptilus,NA,NA,NA,NA,1.757857918,NA,1.758,NA
Brachygalba_lugubris,NA,NA,NA,NA,NA,NA,-0.844,NA
Brachypteryx_montana,NA,NA,NA,NA,-0.186329578,NA,-0.186,NA
Brachyramphus_marmoratus,0.845868268,0.867100488,0.856484378,NA,NA,NA,NA,NA
Branta_bernicla,NA,NA,NA,NA,1.808288771,NA,1.829,NA
Branta_canadensis,NA,NA,NA,NA,NA,NA,2.397,NA
Brotogeris_chrysopterus,NA,NA,NA,NA,0.732367894,0.732367894,NA,NA
Brotogeris_jugularis,NA,NA,NA,NA,0.751416089,0.751416089,0.742,NA
Brotogeris_tirica,NA,NA,NA,NA,NA,0.993251773,NA,NA
Brotogeris_versicolurus,NA,NA,NA,NA,0.871293366,0.871293366,NA,NA
Bubo_virginianus,NA,NA,NA,NA,2.68988623,NA,2.706,NA
Bucephala_albeola,NA,NA,NA,NA,1.410986974,NA,1.281,NA
Bucephala_islandica,NA,NA,NA,NA,1.763017,NA,1.792,NA
Buceros_hydrocorax,NA,NA,NA,NA,NA,NA,2.833,NA
Burhinus_bistriatus,1.5518088,1.526056303,1.538932552,NA,1.539015448,NA,1.569,NA
Burhinus_grallarius,1.481604541,1.442201993,1.461903267,NA,1.460937904,NA,1.462,NA
Buteo_buteo,NA,NA,NA,NA,2.071913275,NA,2.128,NA
Buteo_jamaicensis,NA,NA,NA,NA,2.217027205,NA,2.178,NA
Buteo_lagopus,NA,NA,NA,NA,2.219203484,NA,2.178,NA
Buteo_lineatus,NA,NA,NA,NA,1.972691172,NA,1.974,NA
Buteo_magnirostris,NA,NA,NA,NA,1.517322624,NA,1.526,NA
Buteo_platypterus,NA,NA,NA,NA,1.633154439,NA,1.609,NA
Buteo_regalis,NA,NA,NA,NA,2.251291799,NA,2.262,NA
Buteo_swainsoni,NA,NA,NA,NA,1.996059933,NA,1.968,NA
Buteogallus_anthracinus,NA,NA,NA,NA,1.969905655,NA,1.965,NA
Buteogallus_urubitinga,NA,NA,NA,NA,NA,NA,2.351,NA
Cacatua_alba,NA,NA,NA,NA,2.650421088,2.650421088,NA,NA
Cacatua_ducorpsii,NA,NA,NA,NA,NA,2.163323026,NA,NA
Cacatua_galerita,NA,NA,NA,NA,2.656054906,2.656054906,2.665,NA
Cacatua_haematuropygia,NA,NA,NA,NA,NA,2.140066163,2.175,NA
Cacatua_leadbeateri,NA,NA,NA,NA,2.136530509,2.136530509,2.086,NA
Cacatua_moluccensis,NA,NA,NA,NA,2.749192144,2.749192144,2.674,NA
Cacatua_ophthalmica,NA,NA,NA,NA,NA,2.708050201,NA,NA
Cacatua_pastinator,NA,NA,NA,NA,2.396985768,2.396985768,2.397,NA
Cacatua_roseicapilla,NA,NA,NA,NA,1.860974538,1.860974538,1.848,NA
Cacatua_sanguinea,NA,NA,NA,NA,2.187174241,2.187174241,2.187,NA
