"scientific_name","social"
"Collocalia marginata",1
"Collocalia isonota",1
"Collocalia sumbawae",1
"Collocalia neglecta",1
"Collocalia esculenta",0
"Collocalia uropygialis",1
"Collocalia dodgei",0
"Collocalia linchi",0
"Collocalia natalis",0
"Collocalia troglodytes",1
"Aerodramus elaphrus",0
"Aerodramus francicus",0
"Aerodramus unicolor",0
"Aerodramus mearnsi",0
"Aerodramus infuscatus",1
"Aerodramus hirundinaceus",0
"Aerodramus spodiopygius",0
"Aerodramus terraereginae",0
"Aerodramus brevirostris",0
"Aerodramus vulcanorum",0
"Aerodramus salangana",0
"Aerodramus vanikorensis",0
"Aerodramus amelis",0
"Aerodramus pelewensis",0
"Aerodramus bartschi",0
"Aerodramus inquietus",0
"Aerodramus leucophaeus",0
"Aerodramus sawtelli",0
"Aerodramus ocistus",0
"Aerodramus maximus",0
"Aerodramus fuciphagus",1
"Schoutedenapus myoptilus",1
"Mearnsia picina",1
"Mearnsia novaeguineae",1
"Zoonavena grandidieri",1
"Zoonavena thomensis",0
"Zoonavena sylvatica",0
"Telacanthura ussheri",1
"Telacanthura melanopygia",0
"Rhaphidura leucopygialis",0
"Rhaphidura sabini",0
"Neafrapus cassini",1
"Neafrapus boehmi",0
"Hirundapus caudacutus",0
"Hirundapus cochinchinensis",1
"Hirundapus giganteus",0
"Hirundapus celebensis",1
"Chaetura cinereiventris",0
"Chaetura spinicaudus",0
"Chaetura martinica",1
"Chaetura fumosa",1
"Chaetura pelagica",0
"Chaetura vauxi",0
"Chaetura meridionalis",1
"Chaetura brachyura",0
"Aeronautes saxatalis",1
"Aeronautes montivagus",0
"Aeronautes andecolus",1
"Tachornis phoenicobia",0
"Tachornis furcata",0
"Tachornis squamata",0
"Panyptila sanctihieronymi",1
"Panyptila cayennensis",0
"Cypsiurus parvus",0
"Cypsiurus gracilis",1
"Cypsiurus balasiensis",0
"Tachymarptis melba",0
"Tachymarptis aequatorialis",0
"Apus alexandri",1
"Apus apus",0
"Apus unicolor",1
"Apus niansae",0
"Apus pallidus",0
"Apus barbatus",0
"Apus balstoni",1
"Apus berliozi",1
"Apus bradfieldi",0
"Apus pacificus",0
"Apus leuconyx",1
"Apus cooki",1
"Apus acuticauda",0
"Apus affinis",0
"Apus nipalensis",0
"Apus horus",0
"Apus caffer",0
"Apus batesi",0
"Florisuga fusca",1
"Eutoxeres aquila",0
"Anopetia gounellei",0
"Phaethornis longuemareus",0
"Phaethornis aethopygus",0
"Phaethornis idaliae",0
"Phaethornis striigularis",0
"Phaethornis griseogularis",0
"Phaethornis ruber",0
"Phaethornis subochraceus",0
"Phaethornis augusti",0
"Phaethornis hispidus",0
"Phaethornis yaruqui",0
"Phaethornis guy",0
"Phaethornis syrmatophorus",0
"Phaethornis koepckeae",0
"Phaethornis mexicanus",0
"Phaethornis longirostris",0
"Phaethornis superciliosus",0
"Doryfera johannae",0
"Colibri delphinae",0
"Colibri thalassinus",0
"Colibri cyanotus",0
"Androdon aequatorialis",0
"Heliothryx barroti",0
"Heliothryx auritus",0
"Polytmus guainumbi",0
"Polytmus milleri",0
"Polytmus theresiae",0
"Chrysolampis mosquitus",0
"Anthracothorax prevostii",0
"Eulampis holosericeus",0
"Eulampis jugularis",0
"Heliangelus amethysticollis",1
"Heliangelus clarisse",0
"Heliangelus strophianus",0
"Discosura conversii",1
"Discosura langsdorffi",0
"Lophornis ornatus",0
"Lophornis pavoninus",0
"Lophornis helenae",0
"Adelomyia melanogenys",0
"Aglaiocercus kingii",0
"Aglaiocercus coelestis",0
"Aglaiocercus berlepschi",0
"Sappho sparganurus",0
"Polyonymus caroli",0
"Taphrolesbia griseiventris",0
"Oreotrochilus estella",1
