"scientific_name","order","family","genus","species","colonial","social","pairs_and_family_groups","singly_and_pairs","solitary"
"Nettapus coromandelianus","Anseriformes","Anatidae","Nettapus","coromandelianus",0,1,1,1,0
"Nettapus pulchellus","Anseriformes","Anatidae","Nettapus","pulchellus",0,0,0,1,0
"Amazonetta brasiliensis","Anseriformes","Anatidae","Amazonetta","brasiliensis",0,1,1,0,0
"Callonetta leucophrys","Anseriformes","Anatidae","Callonetta","leucophrys",0,0,1,0,0
"Lophonetta specularioides","Anseriformes","Anatidae","Lophonetta","specularioides",0,0,1,1,0
"Speculanas specularis","Anseriformes","Anatidae","Speculanas","specularis",0,1,1,1,0
"Sibirionetta formosa","Anseriformes","Anatidae","Sibirionetta","formosa",0,1,0,1,0
"Spatula querquedula","Anseriformes","Anatidae","Spatula","querquedula",0,0,0,1,0
"Spatula hottentota","Anseriformes","Anatidae","Spatula","hottentota",0,1,0,1,0
"Spatula puna","Anseriformes","Anatidae","Spatula","puna",0,1,0,1,0
"Spatula versicolor","Anseriformes","Anatidae","Spatula","versicolor",0,0,1,0,0
"Spatula platalea","Anseriformes","Anatidae","Spatula","platalea",0,1,1,0,0
"Spatula cyanoptera","Anseriformes","Anatidae","Spatula","cyanoptera",0,1,0,0,0
"Spatula discors","Anseriformes","Anatidae","Spatula","discors",0,1,0,0,0
"Spatula smithii","Anseriformes","Anatidae","Spatula","smithii",0,1,1,1,0
"Spatula rhynchotis","Anseriformes","Anatidae","Spatula","rhynchotis",0,0,1,0,0
"Spatula clypeata","Anseriformes","Anatidae","Spatula","clypeata",0,0,1,0,0
"Mareca strepera","Anseriformes","Anatidae","Mareca","strepera",0,0,1,0,0
"Mareca falcata","Anseriformes","Anatidae","Mareca","falcata",0,0,1,1,0
"Mareca penelope","Anseriformes","Anatidae","Mareca","penelope",0,0,1,0,0
"Mareca sibilatrix","Anseriformes","Anatidae","Mareca","sibilatrix",0,0,1,1,0
"Mareca americana","Anseriformes","Anatidae","Mareca","americana",0,1,1,1,0
"Mareca marecula","Anseriformes","Anatidae","Anas","marecula",NA,NA,NA,NA,NA
"Anas sparsa","Anseriformes","Anatidae","Anas","sparsa",0,0,0,1,0
